# ======================================================================
# Column reinforcement assignments  -  435 EAST 21 STREET, BROOKLYN NY  (rev.4)
# Source: 435E_21_STR-BK-S column schedule (S-016.00) + model dump v5. UTF-8 BOM. From CSV -> Run.
# REINF: [1]12x12 8(3x3)#4 noTie ends5 mid10 | [2]14x14 8(3x3)#4+tie ends6 mid12 | [3]16x16 12(4x4)#4 ends8 mid16.
# Ties: top/bottom quarter dense (drawing spacing, ZoneFraction .25); middle half doubled. Crossties[2][3].
# TOP:
#  * Coaxial same-size -> all bars Cranked (30d pen, slope 1:6, EqualizeEndHeight).
#  * Asymmetric/offset/rotated transition -> bars on the FLUSH faces Cranked to the real upper-cage
#    positions (LongCrankTargets); bars on the FAR face(s) (largest lower/upper outer-face gap) BENT
#    into slab; the perfectly-aligned bar falls back to the symmetric 1-dia crank (LongCrankUpperInset)
#    so its crank is not degenerate. The UPPER column gets STRAIGHT Column-host starter dowels only at
#    the bent positions (DowelPositions) lapping 30d into the lower col and 30d up into the upper cage.
#  * Top of stack -> bars Bent outward into slab 10d. Cover 1.5". Tie hook 135.
# ======================================================================
Mark,ExpectedSection,ExpectedW,ExpectedD,CoverSides,CoverEnds,LongBarType,LongBarsW,LongBarsD,LongTopDefault,LongTopModes,LongTopBentLeg,LongTopBentOutward,LongCrankUpperInset,LongCrankSlope,LongCrankLowerBendOffset,LongCrankPenetration,LongCrankEqualizeEndHeight,LongCrankedShape,LongCrankTargets,DowelsEnabled,DowelForm,DowelHost,DowelBarType,DowelExt,DowelEmbed,DowelPositions,StirrupBarType,StirrupSpacing,StirrupHookType,ConfBotEnabled,ConfBotSpacing,ConfBotZoneFraction,ConfTopEnabled,ConfTopSpacing,ConfTopZoneFraction,CrosstiesEnabled,CrosstiesAuto
C2.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C2.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C3.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C3.3,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C3.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C3.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C4,Rectangular,16,16,1.5,1.5,#7,4,4,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,16,Stirrup/Tie - 135 deg.,true,8,0.25,true,8,0.25,true,true
C5,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
C5.2,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C5.4: + 3 straight Column-host dowels (idx 3 4 5) lapping C5.3 below
C5.4,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,true,Straight,Column,#7,27,27,3 4 5,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C5.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C5.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C6,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C6.3: + 3 straight Column-host dowels (idx 3 4 6) lapping C6.2 below
C6.3,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,true,Straight,Column,#6,23,23,3 4 6,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C6.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C6.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C6.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C7,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
C7.2,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C7.4: + 3 straight Column-host dowels (idx 2 5 7) lapping C7.3 below
C7.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,true,Straight,Column,#6,23,23,2 5 7,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C7.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C7.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C8,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C8.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C8.3,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C8.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C8.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C8.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C9,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C9.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C9.3,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C9.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C9.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C9.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C10,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C10.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C10.3,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C10.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C10.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C10.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C11,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C11.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C11.3,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C11.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C11.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C11.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C12,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
C12.2,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
C12.3,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C12.5: + 3 straight Column-host dowels (idx 0 1 2) lapping C12.4 below
C12.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,true,Straight,Column,#6,23,23,0 1 2,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C12.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C13.2,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
C13.3,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C13.5: + 3 straight Column-host dowels (idx 0 1 2) lapping C13.4 below
C13.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,true,Straight,Column,#6,23,23,0 1 2,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C13.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C14,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C14.2,Rectangular,12,12,1.5,1.5,#7,3,3,Cranked,,,,0.88,6,12,27,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C14.3,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C14.4,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C14.5,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C14.6,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C15,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
C16,Rectangular,12,12,1.5,1.5,#6,3,3,Cranked,,,,0.75,6,12,23,true,28_Z_Frame_v19,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
#
# --- Asymmetric transitions -> flush bars Cranked, far bars Bent + upper dowels ---
# C1.2: 14x14 asym: 5 bars cranked, 3 bent to slab (idx 4,5,7); upper col gets 3 starter dowels
C1.2,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,4:BentToSlab 5:BentToSlab 7:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"1:(-1,-4.56) 2:(2.56,-4.56) 3:(-4.56,2.56) 6:(-4.56,-1)",,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C5.3: 14x14 asym: 5 bars cranked, 3 bent to slab (idx 3,4,5); upper col gets 3 starter dowels
C5.3,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,3:BentToSlab 4:BentToSlab 5:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"0:(-3.56,-4.56) 2:(3.56,-4.56) 6:(-3.56,-1) 7:(3.56,-1)",,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C6.2: 14x14 asym: 5 bars cranked, 3 bent to slab (idx 3,4,6); upper col gets 3 starter dowels
C6.2,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,3:BentToSlab 4:BentToSlab 6:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"0:(-2.62,-4.62) 1:(1,-4.62) 5:(4.62,2.62) 7:(4.62,-1)",,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C7.3: 14x14 asym: 5 bars cranked, 3 bent to slab (idx 2,5,7); upper col gets 3 starter dowels
C7.3,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,2:BentToSlab 5:BentToSlab 7:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"0:(-4.62,-3.62) 1:(-1,-3.62) 3:(-4.62,3.62) 4:(-1,3.62)",,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C12.4: 14x14 asym: 5 bars cranked, 3 bent to slab (idx 0,1,2); upper col gets 3 starter dowels
C12.4,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,0:BentToSlab 1:BentToSlab 2:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"3:(-3.62,4.62) 5:(3.62,4.62) 6:(-3.62,1) 7:(3.62,1)",,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
# C13: 16x16 asym: 8 bars cranked, 4 bent to slab (idx 2,6,10,11); upper col gets 4 starter dowels
C13,Rectangular,16,16,1.5,1.5,#7,4,4,Cranked,2:BentToSlab 6:BentToSlab 10:BentToSlab 11:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"0:(-4.56,-4.56) 1:(0,-4.56) 3:(4.56,-4.56) 4:(-4.56,4.56) 5:(0,4.56) 7:(4.56,4.56) 8:(-4.56,0) 9:(4.56,0)",,,,,,,,#4,16,Stirrup/Tie - 135 deg.,true,8,0.25,true,8,0.25,true,true
# C13.4: 14x14 asym: 5 bars cranked, 3 bent to slab (idx 0,1,2); upper col gets 3 starter dowels
C13.4,Rectangular,14,14,1.5,1.5,#7,3,3,Cranked,0:BentToSlab 1:BentToSlab 2:BentToSlab,9,true,0.88,6,12,27,true,28_Z_Frame_v19,"3:(-3.62,4.62) 5:(3.62,4.62) 6:(-3.62,1) 7:(3.62,1)",,,,,,,,#4,12,Stirrup/Tie - 135 deg.,true,6,0.25,true,6,0.25,true,true
#
# --- Top-of-stack -> Bent outward into slab ---
# C1.7: 12x12 top=ROOF leg=10d=7"
C1.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C2.6: 12x12 top=ROOF leg=10d=7"
C2.6,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C3.6: 12x12 top=ROOF leg=10d=7"
C3.6,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C4.2: 16x16 top=2ND FLOOR leg=10d=9"
C4.2,Rectangular,16,16,1.5,1.5,#7,4,4,BentToSlab,,9,true,,,,,,,,,,,,,,,#4,16,Stirrup/Tie - 135 deg.,true,8,0.25,true,8,0.25,true,true
# C5.7: 12x12 top=ROOF leg=10d=7"
C5.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C6.7: 12x12 top=ROOF leg=10d=7"
C6.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C7.7: 12x12 top=ROOF leg=10d=7"
C7.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C8.7: 12x12 top=ROOF leg=10d=7"
C8.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C9.7: 12x12 top=ROOF leg=10d=7"
C9.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C10.7: 12x12 top=ROOF leg=10d=7"
C10.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C11.7: 12x12 top=ROOF leg=10d=7"
C11.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C12.7: 12x12 top=ROOF leg=10d=7"
C12.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C13.7: 12x12 top=ROOF leg=10d=7"
C13.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C14.7: 12x12 top=ROOF leg=10d=7"
C14.7,Rectangular,12,12,1.5,1.5,#5,3,3,BentToSlab,,7,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C15.2: 12x12 top=2ND FLOOR leg=10d=8"
C15.2,Rectangular,12,12,1.5,1.5,#6,3,3,BentToSlab,,8,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
# C16.2: 12x12 top=2ND FLOOR leg=10d=8"
C16.2,Rectangular,12,12,1.5,1.5,#6,3,3,BentToSlab,,8,true,,,,,,,,,,,,,,,#4,10,Stirrup/Tie - 135 deg.,true,5,0.25,true,5,0.25,,
